Name;Author;Rank;Genus;Family;Order;Class;Phylum;Kingd;Status;Mainl;Origin;CurDis;Pathw1;Pathw2;LifeSt;Ecosys;Observ;AOO;Imp12;Impact;minImp;maxImp;InvPot;minInv;maxInv;clmInv;EcoEff;minEff;maxEff;clmEff;A;minA;maxA;B;minB;maxB;C;minC;maxC;D;minD;maxD;E;minE;maxE;F;minF;maxF;G;minG;maxG;H;minH;maxH;I;minI;maxI
Atropa belladonna;L.;species;Atropa;Solanaceae;Solanales;Eudicots;Magnoliophyta;Plantae;reproducing;TRUE;Eur,As,Afr;Eur,As,Afr;cnt;timb;urb;NA;1948;8;NK;NK;NK;NK;1;1;1;FALSE;1;1;1;FALSE;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Auricularia auricula-judae;(Bull. : Fr.) Qu�l.;species;Auricularia;Auriculariaceae;Auriculariales;Agaricomycetes;Basidiomycota;Fungi;reproducing;TRUE;Eur;Eur;cnt;parp;low;NA;2007;440;NR;LO;LO;LO;2;2;3;TRUE;1;1;2;NA;2;2;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1
Aurinia saxatilis;(L.) Desv.;species;Aurinia;Brassicaceae;Brassicales;Eudicots;Magnoliophyta;Plantae;reproducing;TRUE;Eur;Eur,As,Oc;esc;hort,escx;low;NA;1956;208;PH;LO;LO;LO;2;2;2;FALSE;1;1;1;FALSE;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Austrominius modestus;(Darwin, 1854);species;Austrominius;Austrobalanidae;Sessilia;Maxillopoda;Arthropoda;Animalia;DoorKnocker;TRUE;Pac;Atl,Med,Pac;stw,spr;hull,nat;mar;M01,M03;2013;0;NR;HI;HI;SE;4;4;4;TRUE;2;2;3;TRUE;4;4;4;4;4;4;1;1;1;1;1;1;2;2;3;1;1;1;1;1;1;1;1;1;1;1;1
Austrominius modestus;(Darwin, 1854);species;Austrominius;Austrobalanidae;Sessilia;Maxillopoda;Arthropoda;Animalia;DoorKnocker;FALSE;Pac;Atl,Med,Pac;stw;ball,hull,stwx;mar;NA;NA;0;NR;NK;NK;LO;1;1;2;TRUE;1;1;2;TRUE;2;2;3;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1
Baeocrara japonica;(Matthews, 1884);species;Baeocrara;Ptiliidae;Coleoptera;Insecta;Arthropoda;Animalia;reproducing;TRUE;As;Eur,As;cnt,stw,spr;habm,stwx,nat;for,low;NA;1989;1200;PH;LO;LO;LO;3;3;3;NA;1;1;1;NA;4;4;4;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Ballota nigra nigra;NA;subspecies;Ballota;Lamiaceae;Lamiales;Eudicots;Magnoliophyta;Plantae;reproducing;TRUE;Eur;Eur;cnt,stw;seed,ball;urb;NA;1838;16;NK;NK;NK;NK;1;1;1;FALSE;1;1;1;FALSE;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Bambara contorta;(Dybas, 1966);species;Bambara;Ptiliidae;Coleoptera;Insecta;Arthropoda;Animalia;reproducing;TRUE;NAm;Eur,As,NAm;cnt;habm;low;NA;2012;400;NR;LO;LO;LO;3;3;3;NA;1;1;1;NA;4;4;4;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Barbarea vulgaris;R.Br.;species;Barbarea;Brassicaceae;Brassicales;Eudicots;Magnoliophyta;Plantae;reproducing;TRUE;Eur,As,Afr;Eur,As,NAm,Afr,Oc;esc,cnt;hort,seed;for,low,mar,urb;VU-07,T32;1834;35280;SE;SE;SE;SE;4;4;4;FALSE;4;4;4;FALSE;4;4;4;4;4;4;1;1;1;4;4;4;2;2;2;3;3;3;1;1;1;1;1;1;1;1;1
Barbarea vulgaris;R.Br.;species;Barbarea;Brassicaceae;Brassicales;Eudicots;Magnoliophyta;Plantae;reproducing;FALSE;Eur,As,Afr;Eur,As,NAm,Afr;cnt,stw;bait,cntx,stwx;for,low,mar,urb;NA;1935;8;LO;LO;LO;LO;2;2;2;FALSE;1;1;1;FALSE;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Batrachochytrium dendrobatidis;Longcore, Pessier & D.K. Nichols;species;Batrachochytrium;incertae sedis;Rhizophydiales;Chytridiomycetes;Chytridiomycota;Fungi;DoorKnocker;TRUE;Afr;Eur,As,NAm,Afr,SAm,Oc;cnt;para,cnta;lim,par;F02,F03;NA;0;NR;SE;SE;SE;4;4;4;TRUE;4;4;4;TRUE;4;4;4;4;4;4;1;1;1;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Batrachochytrium salamandrivorans;A. Martel, Blooi, Bossuyt & Pasmans;species;Batrachochytrium;incertae sedis;Rhizophydiales;Chytridiomycetes;Chytridiomycota;Fungi;DoorKnocker;TRUE;As;Eur,As;cnt;para;lim,par;F02,F03;NA;0;NR;SE;SE;SE;4;4;4;NA;4;4;4;NA;4;4;4;4;4;4;1;1;1;1;1;2;4;4;4;1;1;2;1;1;1;1;1;1;1;1;1
Beckmannia syzigachne;(Steud.) Fernald;species;Beckmannia;Poaceae;Poales;Monocots;Magnoliophyta;Plantae;reproducing;TRUE;As,NAm;Eur,As,NAm;cnt;seed;low,urb,wet;NA;1906;40;LO;LO;LO;LO;3;3;3;FALSE;1;1;1;FALSE;2;2;2;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
